backend_monotonic_ms,command_position_deg,command_velocity_deg_s,target_position_deg,feedback_position_deg,feedback_velocity_deg_s,feedback_torque_Nm,feedback_sequence,feedback_age_ms,power_on,control_ready
53410010,240.000168,0.000000,240.000168,240.000168,-0.629689,-0.009769,144,2,1,1
53410031,240.000168,0.000000,240.000168,240.000168,-0.629689,-0.009769,154,2,1,1
53410051,240.000168,0.000000,240.000168,240.000168,-0.629689,-0.009769,164,2,1,1
53410072,240.000168,0.000000,240.000168,240.000168,-0.629689,-0.009769,174,2,1,1
53410093,240.000168,0.000000,240.000168,240.000168,-1.888848,-0.009769,184,2,1,1
53410113,240.000168,0.000000,240.000168,240.000168,-0.629689,-0.009769,194,2,1,1
53410134,240.000168,0.000000,240.000168,240.000168,-0.629689,-0.009769,204,2,1,1
53410155,240.000168,0.000000,240.000168,240.000168,-0.629689,-0.009769,214,2,1,1
53410175,240.000168,0.000000,240.000168,240.000168,-0.629689,-0.009769,224,2,1,1
53410196,240.000168,0.000000,240.000168,240.000168,-0.629689,-0.009769,234,2,1,1
53410217,240.000168,0.000000,240.000168,240.000168,-0.629689,-0.009769,244,2,1,1
53410237,240.000168,0.000000,240.000168,240.000168,-0.629689,-0.009769,254,2,1,1
53410258,240.000168,0.000000,240.000168,240.000168,-0.629689,-0.009769,264,2,1,1
53410278,240.000168,0.000000,240.000168,240.000168,-0.629689,-0.009769,274,1,1,1
53410299,240.000168,0.000000,240.000168,240.000168,-0.629689,-0.009769,284,2,1,1
53410320,240.000168,0.000000,240.000168,240.000168,-0.629689,-0.009769,294,2,1,1
53410340,240.000168,0.000000,240.000168,240.000168,-0.629689,-0.009769,304,2,1,1
53410361,240.000168,0.000000,240.000168,240.000168,-0.629689,-0.009769,314,2,1,1
53410381,240.000168,0.000000,240.000168,240.000168,-0.629689,-0.009769,324,2,1,1
53410402,240.000168,0.000000,240.000168,240.000168,-0.629689,-0.009769,334,2,1,1
53410422,240.000168,0.000000,240.000168,240.000168,-0.629689,-0.009769,344,1,1,1
53410443,240.000168,0.000000,240.000168,240.000168,-0.629689,-0.009769,354,2,1,1
53410464,240.000168,0.000000,240.000168,240.000168,-1.888848,-0.009769,364,2,1,1
53410485,240.000168,0.000000,240.000168,240.000168,-0.629689,-0.009769,374,2,1,1
53410506,240.000168,0.000000,240.000168,240.000168,-0.629689,-0.009769,384,2,1,1
53410526,240.000168,0.000000,240.000168,240.000168,-0.629689,-0.009769,394,1,1,1
53410547,240.000168,0.000000,240.000168,240.000168,-0.629689,-0.009769,404,2,1,1
53410568,240.000168,0.000000,240.000168,240.000168,-0.629689,-0.009769,414,2,1,1
53410588,238.833771,-129.600006,4.600000,239.912628,-6.925921,-0.048840,424,2,1,1
53410609,234.524582,-280.800049,7.400000,239.497345,-19.518385,-0.126984,434,2,1,1
53410630,227.403763,-360.000000,7.400000,239.125793,-18.259008,-0.244202,444,2,1,1
53410651,219.843796,-360.000000,7.400000,238.863510,-15.740689,-0.341881,454,2,1,1
53410672,212.283813,-360.000000,10.200000,238.448227,-15.740689,-0.498169,464,2,1,1
53410693,204.723846,-360.000000,10.200000,238.317093,-6.925921,-0.615383,474,2,1,1
53410714,197.163849,-360.000000,10.200000,238.229660,-4.407384,-0.732601,484,2,1,1
53410734,189.963867,-360.000000,10.200000,238.142242,-4.407384,-0.849815,494,2,1,1
53410755,182.403900,-360.000000,10.200000,238.076675,-3.148225,-0.908424,504,2,1,1
53410776,174.843918,-360.000000,10.200000,238.054810,-1.888848,-0.908424,514,2,1,1
53410797,167.283951,-360.000000,10.200000,238.032959,-0.629689,-0.908424,524,2,1,1
53410818,159.723953,-360.000000,10.200000,238.032959,-1.888848,-0.908424,534,2,1,1
53410838,152.523987,-360.000000,10.200000,238.011108,-1.888848,-0.908424,544,2,1,1
53410859,144.964005,-360.000000,10.200000,238.011108,-0.629689,-0.908424,554,2,1,1
53410880,137.404022,-360.000000,10.200000,238.011108,-0.629689,-0.908424,564,2,1,1
53410900,130.204041,-360.000000,10.200000,237.989243,-0.629689,-0.908424,574,1,1,1
53410921,122.644066,-360.000000,10.200000,237.989243,-1.888848,-0.908424,584,2,1,1
53410942,115.084076,-360.000000,16.600000,237.989243,-0.629689,-0.908424,594,2,1,1
53410963,107.524101,-360.000000,26.799997,237.989243,-0.629689,-0.908424,604,2,1,1
53410984,99.964119,-360.000000,33.200001,237.989243,-0.629689,-0.908424,614,2,1,1
53411004,92.764145,-360.000000,36.000000,237.967392,-1.888848,-0.908424,624,1,1,1
53411025,85.204163,-360.000000,36.900002,237.967392,-0.629689,-0.908424,634,2,1,1
53411046,77.644180,-360.000000,40.599998,237.967392,-0.629689,-0.908424,644,2,1,1
53411067,70.503250,-309.967865,47.099998,237.967392,-0.629689,-0.908424,654,2,1,1
53411088,65.175262,-199.473648,56.299999,237.967392,-0.629689,-0.908424,664,2,1,1
53411109,62.330418,-77.695366,65.499992,237.967392,-0.629689,-0.908424,674,2,1,1
53411130,61.784256,13.829349,70.199989,237.945526,-1.888848,-0.908424,684,2,1,1
53411151,62.719494,67.315125,73.800003,237.967392,-0.629689,-0.908424,694,2,1,1
53411172,64.390060,86.810303,73.800003,237.945526,-1.888848,-0.908424,704,2,1,1
53411193,66.218033,85.018364,73.800003,237.967392,-0.629689,-0.908424,714,2,1,1
53411214,68.333817,110.122665,80.300003,237.945526,-0.629689,-0.908424,724,2,1,1
53411235,70.966675,137.704956,90.500000,237.945526,-0.629689,-0.908424,734,2,1,1
53411256,74.174484,160.288574,90.500000,237.945526,-0.629689,-0.908424,744,2,1,1
53411277,77.479485,151.188797,90.500000,237.945526,-0.629689,-0.908424,754,2,1,1
53411298,80.437752,129.479340,90.500000,237.945526,-0.629689,-0.908424,764,2,1,1
53411319,82.898407,104.878487,90.500000,237.945526,-0.629689,-0.908424,774,2,1,1
53411340,84.854836,81.922325,90.500000,237.945526,-0.629689,-0.908424,784,2,1,1
53411361,86.363457,62.376087,90.500000,237.945526,-0.629689,-0.908424,794,2,1,1
53411382,87.501305,46.600956,90.500000,237.945526,-0.629689,-0.908424,804,2,1,1
53411403,88.345261,34.309254,90.500000,237.945526,-0.629689,-0.908424,814,2,1,1
53411424,88.963066,24.967113,90.500000,237.945526,-0.629689,-0.908424,824,2,1,1
53411445,89.410561,17.997210,90.500000,237.945526,-1.888848,-0.908424,834,2,1,1
53411466,89.731903,12.871267,90.500000,237.945526,-0.629689,-0.908424,844,2,1,1
53411487,89.960991,9.144276,90.500000,237.945526,-0.629689,-0.908424,854,2,1,1
53411508,90.123283,6.459676,90.500000,237.945526,-1.888848,-0.908424,864,2,1,1
53411529,90.237656,4.540879,90.500000,237.945526,-0.629689,-0.908424,874,2,1,1
53411550,90.317902,3.178372,90.500000,237.945526,-0.629689,-0.908424,884,2,1,1
53411571,90.373970,2.216240,90.500000,237.945526,-0.629689,-0.908424,894,2,1,1
53411592,90.413002,1.540160,90.500000,237.945526,-0.629689,-0.908424,904,2,1,1
53411613,90.440086,1.067133,90.500000,237.945526,-0.629689,-0.908424,914,2,1,1
53411634,90.458817,0.737418,90.500000,237.945526,-0.629689,-0.908424,924,2,1,1
53411655,90.471764,0.508318,90.500000,237.945526,-0.629689,-0.908424,934,2,1,1
53411676,90.480659,0.349617,90.500000,237.945526,-0.629689,-0.908424,944,2,1,1
53411697,90.486778,0.239988,90.500000,237.945526,-0.629689,-0.908424,954,2,1,1
53411718,90.490990,0.164411,90.500000,237.945526,-0.629689,-0.908424,964,2,1,1
53411739,90.521584,13.700769,99.699997,237.945526,-0.629689,-0.908424,974,2,1,1
53411760,91.344345,65.481583,106.199997,237.923676,-0.629689,-0.908424,984,2,1,1
53411781,93.264183,117.730423,113.500000,237.945526,-0.629689,-0.908424,994,2,1,1
53411802,96.243248,156.554306,113.500000,237.945526,-0.629689,-0.908424,1004,2,1,1
53411823,99.558998,154.905685,113.500000,237.923676,-0.629689,-0.908424,1014,2,1,1
53411844,102.633011,138.820160,117.199997,237.945526,-0.629689,-0.908424,1024,2,1,1
53411865,105.526848,136.145660,120.900002,237.945526,0.629689,-0.908424,1034,2,1,1
53411886,108.454414,146.332672,127.400002,237.945526,-0.629689,-0.908424,1044,2,1,1
53411907,111.755028,165.399155,130.199997,237.945526,-0.629689,-0.908424,1054,2,1,1
53411928,115.321205,178.222946,135.699997,237.945526,-0.629689,-0.908424,1064,2,1,1
53411949,119.169846,187.210678,138.500000,237.923676,-0.629689,-0.908424,1074,2,1,1
53411969,122.893578,186.830933,142.199997,237.923676,-0.629689,-0.908424,1084,2,1,1
53411990,126.764404,177.756424,142.199997,237.923676,-1.888848,-0.908424,1094,2,1,1
53412011,130.250992,152.933289,142.199997,237.923676,-0.629689,-0.908424,1104,2,1,1
53412031,133.036758,125.585876,142.199997,237.923676,-0.629689,-0.908424,1114,2,1,1
53412052,135.483047,110.434441,144.899979,237.923676,-0.629689,-0.908424,1124,2,1,1
53412073,137.679169,98.415588,145.800003,237.923676,-0.629689,-0.908424,1134,2,1,1
53412094,139.710312,95.878242,148.600006,237.945526,0.629689,-0.908424,1144,2,1,1
53412115,141.757874,99.154945,151.399994,237.923676,-0.629689,-0.908424,1154,2,1,1
53412136,144.080795,119.590958,156.899994,237.923676,-0.629689,-0.908424,1164,2,1,1
53412157,146.746689,130.880585,159.699997,237.923676,-0.629689,-0.908424,1174,2,1,1
53412178,149.607437,136.824097,162.500000,237.923676,-0.629689,-0.908424,1184,2,1,1
53412198,152.464676,146.085052,168.899994,237.923676,-0.629689,-0.908424,1194,1,1,1
53412219,155.585205,150.687103,174.500000,237.923676,-0.629689,-0.908424,1204,2,1,1
53412240,158.931549,162.513565,175.399994,237.923676,-0.629689,-0.908424,1214,2,1,1
53412261,162.285187,156.082916,177.199997,237.923676,-0.629689,-0.908424,1224,2,1,1
53412281,165.306671,148.222504,180.899994,237.923676,-0.629689,-0.908424,1234,2,1,1
53412302,168.404556,146.685135,183.699997,237.923676,-0.629689,-0.908424,1244,2,1,1
53412322,171.312241,141.019348,183.699997,237.923676,-0.629689,-0.908424,1254,1,1,1
53412343,174.087753,122.111771,183.699997,237.923676,-1.888848,-0.908424,1264,2,1,1
53412364,176.416611,99.587173,183.699997,237.923676,-0.629689,-0.908424,1274,2,1,1
53412384,178.200043,79.110832,183.699997,237.923676,-0.629689,-0.908424,1284,1,1,1
53412405,179.660126,60.503269,183.699997,237.923676,-0.629689,-0.908424,1294,2,1,1
53412426,180.765656,45.353680,183.699997,237.923676,-0.629689,-0.908424,1304,2,1,1
53412446,181.554352,33.976383,183.699997,237.923676,-0.629689,-0.888889,1314,2,1,1
53412467,182.166946,24.790178,183.699997,237.923676,-0.629689,-0.908424,1324,2,1,1
53412488,182.476151,-5.044332,177.199997,237.923676,-0.629689,-0.908424,1334,2,1,1
53412508,181.858688,-72.571022,164.300003,237.923676,-0.629689,-0.908424,1344,2,1,1
53412529,179.617493,-136.687073,160.600006,237.923676,-0.629689,-0.908424,1354,2,1,1
53412550,176.117416,-205.168457,148.600006,237.923676,-0.629689,-0.908424,1364,2,1,1
53412570,171.651901,-233.482117,147.699997,237.923676,-0.629689,-0.908424,1374,2,1,1
53412591,166.826233,-221.174179,147.699997,237.923676,-0.629689,-0.908424,1384,2,1,1
53412611,162.683990,-191.520645,147.699997,237.923676,-0.629689,-0.908424,1394,1,1,1
53412632,159.037567,-155.685715,147.699997,237.923676,-0.629689,-0.908424,1404,2,1,1
53412653,156.129791,-121.903870,147.699997,237.923676,-0.629689,-0.908424,1414,2,1,1
53412674,153.624496,-116.890236,143.100006,237.923676,-0.629689,-0.908424,1424,2,1,1
53412694,151.174667,-126.558723,138.500000,237.923676,-0.629689,-0.908424,1434,2,1,1
53412715,148.113266,-161.324966,130.199997,237.923676,-0.629689,-0.908424,1444,2,1,1
53412735,144.559357,-186.151108,125.499992,237.923676,0.629689,-0.908424,1454,1,1,1
53412756,140.286331,-211.458939,119.099998,237.923676,-0.629689,-0.908424,1464,2,1,1
53412777,135.641983,-222.906769,114.500000,237.923676,-0.629689,-0.908424,1474,2,1,1
53412797,131.234390,-214.600342,110.799995,237.923676,-0.629689,-0.908424,1484,2,1,1
53412818,126.898338,-200.943802,102.500000,237.923676,-0.629689,-0.908424,1494,2,1,1
53412839,122.481293,-221.922684,88.599998,237.923676,-0.629689,-0.908424,1504,2,1,1
53412859,117.388504,-287.344910,77.499992,237.923676,-0.629689,-0.908424,1514,2,1,1
53412880,110.745010,-333.649567,74.800003,237.923676,-0.629689,-0.908424,1524,2,1,1
53412901,103.734146,-325.539795,74.800003,237.923676,-0.629689,-0.908424,1534,2,1,1
53412921,97.589165,-286.091583,74.800003,237.923676,-0.629689,-0.908424,1544,2,1,1
53412942,92.114998,-234.803879,74.800003,237.923676,-1.888848,-0.908424,1554,2,1,1
53412962,87.803421,-205.628769,69.199997,237.923676,-0.629689,-0.888889,1564,1,1,1
53412983,83.688660,-186.934387,67.400002,237.923676,-0.629689,-0.908424,1574,2,1,1
53413004,79.938751,-172.366074,64.599998,237.923676,-0.629689,-0.908424,1584,2,1,1
53413024,76.411697,-193.492371,53.500000,237.923676,-0.629689,-0.908424,1594,2,1,1
53413045,72.207741,-200.194427,53.500000,237.923676,-0.629689,-0.908424,1604,2,1,1
53413066,68.192459,-179.544159,53.500000,237.923676,-0.629689,-0.908424,1614,2,1,1
53413087,64.730873,-149.512741,53.500000,237.923676,-0.629689,-0.908424,1624,2,1,1
53413107,62.035130,-120.359016,53.500000,237.923676,-0.629689,-0.908424,1634,2,1,1
53413128,59.802540,-92.974052,53.500000,237.923676,-0.629689,-0.908424,1644,2,1,1
53413149,58.097363,-70.215904,53.500000,237.923676,-0.629689,-0.908424,1654,2,1,1
53413169,56.872978,-52.893719,53.500000,237.923676,-0.629689,-0.908424,1664,2,1,1
53413190,55.917118,-38.773014,53.500000,237.901825,-1.888848,-0.908424,1674,2,1,1
53413211,55.220139,-28.116226,53.500000,237.923676,-0.629689,-0.908424,1684,2,1,1
53413232,54.716904,-20.208364,53.500000,237.901825,-0.629689,-0.908424,1694,2,1,1
53413252,54.371048,-14.653276,53.500000,237.923676,-0.629689,-0.908424,1704,2,1,1
53413273,54.110485,-10.391584,53.500000,237.923676,-0.629689,-0.908424,1714,2,1,1
53413294,53.926178,-7.329407,53.500000,237.923676,0.629689,-0.908424,1724,2,1,1
53413314,53.801674,-5.233207,53.500000,237.923676,-0.629689,-0.908424,1734,2,1,1
53413335,53.709240,-3.659254,53.500000,237.923676,-0.629689,-0.908424,1744,2,1,1
53413356,53.644730,-2.549324,53.500000,237.923676,-0.629689,-0.908424,1754,2,1,1
53413376,53.601631,-1.801404,53.500000,237.923676,-0.629689,-0.908424,1764,2,1,1
53413397,53.569962,-1.247409,53.500000,237.923676,-0.629689,-0.908424,1774,2,1,1
53413417,53.548931,-0.876865,53.500000,237.923676,-0.629689,-0.908424,1784,1,1,1
53413438,53.533546,-0.604196,53.500000,237.923676,-0.629689,-0.908424,1794,2,1,1
53413459,53.522964,-0.415428,53.500000,237.923676,-0.629689,-0.908424,1804,2,1,1
53413479,53.515984,-0.290235,53.500000,237.923676,-0.629689,-0.908424,1814,1,1,1
53413500,53.510910,-0.198821,53.500000,237.923676,-0.629689,-0.908424,1824,2,1,1
53413521,53.507435,-0.135986,53.500000,237.923676,-0.629689,-0.908424,1834,2,1,1
53413542,53.505066,-0.092888,53.500000,237.923676,-0.629689,-0.908424,1844,2,1,1
53413563,53.503445,-0.063367,53.500000,237.923676,-0.629689,-0.908424,1854,2,1,1
53413584,53.502342,-0.043181,53.500000,237.923676,-0.629689,-0.908424,1864,2,1,1
53413605,53.501587,-0.029388,53.500000,237.923676,-0.629689,-0.908424,1874,2,1,1
53413626,53.640476,38.197941,69.199997,237.923676,-0.629689,-0.908424,1884,2,1,1
53413647,55.302105,132.170959,96.000000,237.923676,-0.629689,-0.908424,1894,2,1,1
53413667,59.383156,275.907806,131.099991,237.923676,-0.629689,-0.908424,1904,2,1,1
53413688,66.448845,360.000000,145.800003,237.923676,-0.629689,-0.908424,1914,2,1,1
53413709,74.008827,360.000000,173.500000,237.923676,-0.629689,-0.908424,1924,2,1,1
53413730,81.568810,360.000000,183.699997,237.923676,-0.629689,-0.908424,1934,2,1,1
53413751,89.128784,360.000000,194.800018,237.923676,-0.629689,-0.908424,1944,2,1,1
53413771,96.328758,360.000000,211.399994,237.923676,-0.629689,-0.908424,1954,2,1,1
53413792,103.888748,360.000000,224.300003,237.923676,-0.629689,-0.908424,1964,2,1,1
53413813,111.448723,360.000000,240.000000,237.923676,-0.629689,-0.908424,1974,2,1,1
53413833,118.648705,360.000000,244.600006,237.923676,-0.629689,-0.908424,1984,2,1,1
53413854,126.208679,360.000000,248.300018,237.923676,-0.629689,-0.908424,1994,2,1,1
53413874,133.408661,360.000000,253.800018,237.923676,-0.629689,-0.908424,2004,2,1,1
53413895,140.968643,360.000000,256.600006,237.923676,-0.629689,-0.908424,2014,2,1,1
53413915,148.168610,360.000000,261.200012,237.923676,-0.629689,-0.908424,2024,2,1,1
53413936,155.728607,360.000000,265.799988,237.923676,-0.629689,-0.908424,2034,2,1,1
53413956,162.928574,360.000000,271.399994,237.923676,-0.629689,-0.908424,2044,1,1,1
53413977,170.488556,360.000000,284.299957,237.923676,-0.629689,-0.908424,2054,2,1,1
53413998,178.048523,360.000000,291.700012,237.923676,-0.629689,-0.908424,2064,2,1,1
53414018,185.248505,360.000000,302.799988,237.879959,-3.148225,-0.849815,2074,2,1,1
53414039,192.808502,360.000000,308.299988,237.836243,-1.888848,-0.732601,2084,2,1,1
53414059,200.008469,360.000000,314.799957,237.814392,-1.888848,-0.615383,2094,2,1,1
53414080,207.568451,360.000000,323.100006,237.792542,-0.629689,-0.498169,2104,2,1,1
53414100,214.768417,360.000000,324.900024,237.836243,1.888848,-0.341881,2114,2,1,1
53414121,222.328400,360.000000,339.700012,237.923676,3.148225,-0.244202,2124,2,1,1
53414141,229.528381,360.000000,353.499969,238.054810,9.444457,-0.146519,2134,2,1,1
53414162,237.088486,360.000000,360.000000,238.623093,34.629387,-0.009769,2144,2,1,1
53414183,244.648575,360.000000,360.000000,243.606506,256.256897,0.009769,2154,2,1,1
53414203,251.848679,360.000000,360.000000,250.098022,278.923492,0.009769,2164,2,1,1
53414224,259.408783,360.000000,360.000000,257.441956,360.774536,0.009769,2174,2,1,1
53414245,266.968872,360.000000,360.000000,265.354156,418.699951,-0.009769,2184,2,1,1
53414265,274.168976,360.000000,360.000000,272.304657,336.848755,0.009769,2194,2,1,1
53414286,281.729065,360.000000,360.000000,279.255188,356.996796,0.009769,2204,2,1,1
53414307,289.289154,360.000000,360.000000,287.473389,348.182037,-0.009769,2214,2,1,1
53414327,296.489258,360.000000,360.000000,294.336456,343.144958,0.009769,2224,2,1,1
53414348,304.049377,360.000000,360.000000,303.057343,494.254761,-0.029305,2234,2,1,1
53414369,311.609467,360.000000,360.000000,309.548859,278.923492,0.009769,2244,2,1,1
53414390,319.169525,360.000000,360.000000,316.630524,344.404358,0.029305,2254,2,1,1
53414411,326.719666,356.265778,360.000000,-26.523373,-738.548828,0.810745,2264,2,1,1
53414432,333.864441,319.450806,360.000000,158.277008,134.109940,0.791210,2274,2,1,1
53414453,340.022949,265.986481,360.000000,195.608688,530.773010,0.771671,2284,2,1,1
53414474,345.031433,211.621002,360.000000,199.149521,34.629387,0.869354,2294,2,1,1
53414495,348.954315,163.260071,360.000000,199.521072,4.407384,0.888889,2304,2,1,1
53414516,351.947144,123.179253,360.000000,199.521072,-0.629689,0.888889,2314,2,1,1
53414536,354.094330,92.725342,360.000000,199.521072,-0.629689,0.888889,2324,2,1,1
53414557,355.769501,67.930656,360.000000,199.521072,-1.888848,0.888889,2334,2,1,1
53414578,356.990356,49.236053,360.000000,199.521072,-1.888848,0.888889,2344,2,1,1
53414598,357.835754,35.941696,360.000000,199.521072,-0.629689,0.888889,2354,2,1,1
53414619,358.476715,25.641768,360.000000,199.521072,-0.629689,0.888889,2364,2,1,1
53414640,358.932617,18.178928,360.000000,199.521072,-0.629689,0.888889,2374,2,1,1
53414661,359.254974,12.818827,360.000000,199.521072,-0.629689,0.888889,2384,2,1,1
53414682,359.481781,8.997046,360.000000,199.521072,-1.888848,0.888889,2394,2,1,1
53414703,359.353851,-57.464573,336.000000,199.521072,-0.629689,0.888889,2404,2,1,1
53414723,356.973816,-186.121872,312.899994,199.521072,-0.629689,0.888889,2414,2,1,1
53414744,351.494354,-335.804657,279.700012,199.521072,-0.629689,0.888889,2424,2,1,1
53414765,343.978088,-360.000000,274.200012,199.521072,-0.629689,0.888889,2434,2,1,1
53414786,336.417999,-360.000000,274.200012,199.542938,-0.629689,0.888889,2444,2,1,1
53414807,328.857880,-360.000000,274.200012,199.521072,-0.629689,0.888889,2454,2,1,1
53414828,321.297791,-360.000000,274.200012,199.521072,-0.629689,0.888889,2464,2,1,1
53414849,313.737701,-360.000000,267.699982,199.521072,-0.629689,0.888889,2474,2,1,1
53414870,306.177612,-360.000000,263.100006,199.521072,-0.629689,0.888889,2484,2,1,1
53414891,298.617523,-360.000000,257.500000,199.521072,-0.629689,0.888889,2494,2,1,1
53414912,291.057434,-360.000000,254.800003,199.521072,-0.629689,0.888889,2504,2,1,1
53414933,283.661865,-337.305420,254.800003,199.542938,-0.629689,0.888889,2514,2,1,1
53414954,277.074402,-287.837677,254.800003,199.542938,-0.629689,0.888889,2524,2,1,1
53414975,271.610535,-232.627777,254.800003,199.542938,-0.629689,0.888889,2534,2,1,1
53414996,267.274384,-181.431610,254.800003,199.542938,-0.629689,0.888889,2544,2,1,1
53415017,263.935181,-137.989426,254.800003,199.521072,-0.629689,0.888889,2554,2,1,1
53415038,261.419067,-103.004349,254.800003,199.542938,-0.629689,0.888889,2564,2,1,1
53415059,259.554230,-75.785088,254.800003,199.542938,-0.629689,0.888889,2574,2,1,1
53415080,258.190002,-55.120049,254.800003,199.521072,-1.888848,0.888889,2584,2,1,1
53415101,257.202271,-39.715366,254.800003,199.542938,-1.888848,0.888889,2594,2,1,1
53415122,256.362640,-46.837646,250.199997,199.542938,-0.629689,0.888889,2604,2,1,1
53415143,254.960953,-93.202019,240.899994,199.542938,-0.629689,0.888889,2614,2,1,1
53415164,252.055862,-199.222275,220.600006,199.499222,-4.407384,0.849815,2624,2,1,1
53415185,246.651566,-324.845306,201.199997,199.280655,-14.481312,0.771671,2634,2,1,1
53415206,239.216690,-360.000000,188.300018,198.865372,-19.518385,0.654457,2644,2,1,1
53415226,232.016586,-360.000000,185.500000,198.362625,-24.555241,0.537239,2654,2,1,1
53415247,224.456543,-360.000000,185.500000,197.750626,-30.851471,0.420025,2664,2,1,1
